KBK;OKVJeD; OKDP;Uslovija kontrakta: № zakaza (№lota);Uslovija kontrakta: Naimenovanie predmeta kontrakta;Uslovija kontrakta:Minimal'no neobhodimye trebovanija, pred#javljaemye k predmetu kontrakta ;Uslovija kontrakta: Edinica izmerenija;Uslovija kontrakta: Kolichestvo (ob#em);Uslovija kontrakta: Nachal'naja (maksimal'naja) cena kontrakta (v tys. rublej);Uslovija kontrakta: Razmer obespechenija zajavki (v tys. rublej) / razmer obespechenija ispolnenija kontrakta (v tys. rublej);Grafik osushhestvlenija procedur zakupki: srok razmeshhenija zakaza (mes., god);Grafik osushhestvlenija procedur zakupki: srok ispolnenija kontrakta (mes., god);Sposob razmeshhenija zakaza;Obosnovanie vnesenija izmenenij
1,03040824800192E+019;45.21.10;4529000;171;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;172;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;173;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;174;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;175;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;176;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;177;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;178;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;179;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;180;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;181;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;99,51;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;182;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;96,67;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;183;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;95,02;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;184;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;95,85;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;185;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;98,21;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;186;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;80,41;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;187;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;79,14;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;188;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;70,65;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;189;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;42,43;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;190;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;79,74;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;191;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;83,79;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;192;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;77,33;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;193;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;82,39;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;194;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;99,84;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;195;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;89,31;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;196;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;79,42;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;197;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;88,37;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;198;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;98,12;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;199;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;88,25;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;200;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;87,18;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;201;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;82,16;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;202;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;82;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;203;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;98,45;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;204;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;77,23;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;205;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;97,34;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;206;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;97,34;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;207;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;65,26;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;208;Postavka sredstv vychislitel'noj tehniki;Postavka sredstv vychislitel'noj tehniki;Komplekt;1;40;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;55.5;5520010;209;Organizacija protokol'nyh meroprijatij;Organizacija protokol'nyh meroprijatij;Kompleks uslug;1;430;4,3 / 129;01.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;55.5;5520010;210;Organizacija protokol'nyh meroprijatij;Organizacija protokol'nyh meroprijatij;Kompleks uslug;1;500;-;01.2015г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;211;Postavka zapasnyh chastej dlja orgtehniki;Postavka original'nyh zapasnyh chastej dlja orgtehniki;Komplekt;1;810;8,1 / 243;01.2015г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;212;Okazanie uslug specsvjazi;Okazanie uslug specsvjazi;Kompleks uslug;1;71,34;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;213;Okazanie uslug specsvjazi;Okazanie uslug specsvjazi;Kompleks uslug;1;37,44;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;214;Okazanie uslug po telefonnoj svjazi;Okazanie uslug telefonnoj svjazi;Kompleks uslug;1;7,33;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;215;Okazanie uslug po telefonnoj svjazi;Okazanie uslug telefonnoj svjazi;Kompleks uslug;1;400;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;216;Okazanie uslug fel'd#egerskoj svjazi;Okazanie usleg fel'd#egerskoj svjazi;Kompleks uslug;1;219,5;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;217;Okazanie pochtovyh uslug ;Okazanie pochtovyh uslug ;Kompleks uslug;1;100;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;218;Okazanie uslug specsvjazi ;Okazanie uslug specsvjazi ;Kompleks uslug;1;800;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;219;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,78;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;220;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,78;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;221;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,17;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;222;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,17;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;223;Okazanie uslug telegrafnoj svjazi v 2015 godu;Okazanie uslug telegrafnoj svjazi v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;224;Okazanie uslug telegrafnoj svjazi v 2015 godu;Okazanie uslug telegrafnoj svjazi v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;60.20;6022020;225;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;60.20;6022020;226;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;60.20;6022020;227;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;60.20;6022020;228;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;60.20;6022020;229;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;60.20;6022020;230;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;60.20;6022020;231;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;1;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;Organizacija sinhronnyh perevodov v hode priemov inostrannyh delegacij;sht.;1;300;-;01.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;2;Izgotovlenija poligraficheskoj produkcii dlja protokol'nyh nuzhd;Izgotovlenija poligraficheskoj produkcii dlja protokol'nyh nuzhd;sht.;1;100;-;01.2015г.;05.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;3;Izgotovlenija poligraficheskoj produkcii dlja protokol'nyh nuzhd;Izgotovlenija poligraficheskoj produkcii dlja protokol'nyh nuzhd;sht.;1;100;-;01.2015г.;05.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;5;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;sht.;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;6;Postavka bytovoj tehniki;Postavka bytovoj tehniki;sht.;1;100;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;7;Okazanie uslug specsvjazi;Okazanie uslug specsvjazi;Kompleks uslug;1;400;-;01.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;8;Okazanie uslug specsvjazi;Okazanie uslug specsvjazi;Kompleks uslug;1;100;-;01.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;9;Okazanie uslug fel'd#egerskoj svjazi;Okazanie usleg fel'd#egerskoj svjazi;Kompleks uslug;1;100;-;01.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;10;Okazanie uslug fel'd#egerskoj svjazi;Okazanie usleg fel'd#egerskoj svjazi;Kompleks uslug;1;250;-;01.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;11;Okazanie pochtovyh uslug ;Okazanie pochtovyh uslug ;Kompleks uslug;1;400;-;01.2015г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;12;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,78;-;02.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;13;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,78;-;02.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;14;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,17;-;02.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;15;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Okazanie uslug mestnoj telefonnoj svjazi v 2015 godu;Kompleks uslug;1;98,17;-;02.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;16;Postavka oborudovanija ;Postavka oborudovanija;sht.;1;8;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;7020020;17;Uslugi po hraneniju dovernnosti;Uslugi po hraneniju dovernnosti;Kompleks uslug;1;0,32;-;01.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;18;Okazanie uslug telegrafnoj svjazi;Okazanie uslug telegrafnoj svjazi;Kompleks uslug;1;800;8 / 240;02.2015г.;06.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;30.01.;3000000;19;Postavka bytovoj tehniki;Postavka bytovoj tehniki;sht.;1;100;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;64.20;6420000;20;Okazanie uslug mestnoj telefonnoj svjazi ;Okazanie uslug mestnoj telefonnoj svjazi;Kompleks uslug;1;2340;23,4 / 702;02.2015г.;06.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;30.01.;3000000;21;Postavka osnovnyh sredstv;Postavka osnovnyh sredstv;sht.;1;3,92;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;22;Postavka osnovnyh sredstv;Postavka osnovnyh sredstv;sht.;1;22,55;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;23;Postavka osnovnyh sredstv;Postavka osnovnyh sredstv;sht.;1;22,55;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;24;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;sht.;1;1903,5;19,0349855 / 571,049565;02.2015г.;03.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;30.01.;3000000;25;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;sht.;1;2181,43;21,8143184 / 654,429552;02.2015г.;03.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.20;70.20.12;26;Uslugi po hraneniju imushhestva;Uslugi po hraneniju imushhestva;Kompleks uslug;1;3000;30 / 900;02.2015г.;03.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;74.70.1;27;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;28;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;29;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;30;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;6311000;31;Pogruzochno-razgruzochnye raboty;Pogruzochno-razgruzochnye raboty;Komplekt;1;100;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;6311000;32;Pogruzochno-razgruzochnye raboty;Pogruzochno-razgruzochnye raboty;Komplekt;1;100;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;33;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;34;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;35;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;36;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;37;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;38;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;100;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.20;70.20.12;39;Okazanie uslug po ohrane ;Okazanie uslug po ohrane ;Kompleks uslug;1;99,9;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.32.2;74.70.1;40;Uslugi po uborke pomeshhenij;Uslugi po uborke pomeshhenij;Kompleks uslug;1;2250;22,5 / 675;03.2015г.;06.2015г.;Otkrytyj aukcion v jelektronnoj forme;-
1,03040824800192E+019;70.32.2;7020020;41;Okazanie uslug po himchistke shtor;Okazanie uslug po himchistke shtor;Kompleks uslug;1;97,4;-;03.2015г.;04.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;42;Okazanie uslug po soprovozhdeniju oficial'nogo sajta;Okazanie uslug po soprovozhdeniju oficial'nogo sajta Mintransa Rossii;Kompleks uslug;1;881,79;44,0895595 / 264,537357;04.2015г.;12.2015г.;Otkrytyj konkurs;-
1,03040824800192E+019;72.60;7260000;43;Okazanie uslug po soprovozhdeniju oficial'nogo sajta;Okazanie uslug po soprovozhdeniju oficial'nogo sajta Mintransa Rossii;Kompleks uslug;1;97,98;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;72.60;7260000;44;Okazanie uslug po soprovozhdeniju oficial'nogo sajta;Okazanie uslug po soprovozhdeniju oficial'nogo sajta Mintransa Rossii;Kompleks uslug;1;97,98;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;70.20;70.20.12;45;Uslugi po hraneniju imushhestva;Uslugi po hraneniju imushhestva;Kompleks uslug;1;99;-;02.2015г.;02.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;46;Postavka oborudovanija ;Postavka oborudovanija;sht.;1;30;-;03.2015г.;03.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;37217;9414020;47;okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na Mezhdunarodnom transportnom forume, prohodjashhem 27-29 maja 2015 goda v g. Lejpcig (Germanija);okazanie uslug po organizacii jekspozicii Ministerstva transporta Rossijskoj Federacii na Mezhdunarodnom transportnom forume, prohodjashhem 27-29 maja 2015 goda v g. Lejpcig (Germanija);Kompleks uslug;1;9557,1;477,855 / 2867,13;04.2015г.;05.2015г.;Otkrytyj konkurs;-
1,03040824800192E+019;30.01.;3000000;48;Postavka osnovnyh sredstv;Postavka osnovnyh sredstv;sht.;1;46,86;-;03.2015г.;04.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;49;Izgotovlenie otkrytok dlja protokol'nyh nuzhd;Izgotovlenie otkrytok dlja protokol'nyh nuzhd;sht.;1;99,81;-;04.2015г.;05.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;55.5;5520010;50;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;sht.;1;100;-;04.2015г.;05.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;51;Postavka osnovnyh sredstv;Upakovochnyj material dlja hranenija;sht.;1;48,72;-;04.2015г.;04.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;52;Postavka oborudovanija ;Pechatnaja tehnika;sht.;1;98;-;04.2015г.;04.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;53;Postavka kartridzhej dlja orgtehniki;Kartridzhi i tonery dlja vysokoskorostnoj pechati;sht.;1;90;-;04.2015г.;04.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;54;Postavka osnovnyh sredstv;Upakovochnyj material dlja hranenija;sht.;1;9,72;-;04.2015г.;04.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;30.01.;3000000;55;Postavka osnovnyh sredstv;Koroba;sht.;1;32,88;-;04.2015г.;04.2015г.;Edinstvennyj postavshhik;-
